Collection,ministry,n_rows,merge_add_columns,needs_review,n_header_sigs,n_missing_header,sample_titles
"Village/Town-wise Primary Census Abstract, 2011 - Aurangabad District (schema 1)","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",578,district,False,1,0,"Village/Town-wise Primary Census Abstract, 2011 - Kupwara District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Badgam District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Leh(Ladakh) District of JAMMU & KASHMIR"
"State, UT & City-wise Incidence and Rate of Suicides (schema 1)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,False,1,0,"State, UT & City-wise Incidence and Rate of Suicides during 2000 | State, UT & City-wise Incidence and Rate of Suicides during 1999 | State, UT & City-wise Incidence and Rate of Suicides during 1998"
All India level Persons Arrested under IPC Crime Heads By Sex (schema 4),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,False,1,0,All India level Persons Arrested under IPC Crime Heads by Sex during 1983 | All India level Persons Arrested under IPC Crime Heads by Sex during 1982 | All India level Persons Arrested under IPC Crime Heads by Sex during 1981
All India level Disposal of Cases under IPC by Courts (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,True,2,0,All-India level Disposal of IPC Crime Cases by Courts during 1992 | All-India level Disposal of LSL Crime Cases by Courts during 1992 | All-India level Disposal of LSL Crime Cases by Courts during 1988
District-wise Service Ready Gram Panchayat as on 31-12,"Ministry of Communications, Department of Telecommunications (DOT)",5,year,True,0,5,District-wise Service Ready Gram Panchayat as on 31-12-2023 | District-wise Service Ready Gram Panchayat as on 31-01-2024 | District-wise Service Ready Gram Panchayat as on 29-02-2024
State/UT-wise Drivers Killed According to Classification of Age and Sex (schema 1),Ministry of Road Transport and Highways,5,year,True,3,0,State/UT-wise Drivers Killed According to Classification of Age and Sex during 2018 | State/UT-wise Drivers Killed according to classification of age and sex during 2019 | States/UTs-wise Drivers Killed according to classification of age and sex during 2020
State & UT-wise Details of Death Sentence (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,3,0,State & UT-wise Details of Death Sentence during 2014 | State & UT-wise Details of Death Sentence during 2013 | State & UT-wise Details of Death Sentence during 2012
State & UT-wise Details of Expenses on Inmates (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,True,3,0,State & UT-wise Details of Expenses on Inmates during 2012 & 2013 | State & UT-wise Details of Expenses on Inmates during 2011 & 2012 | State & UT-wise Details of Expenses on Inmates during 2010 & 2011
"Household Consumer Expenditure, NSS 50th Round : July 1993 - June",Ministry of Statistics and Programme Implementation,5,year,True,0,5,"Household Consumer Expenditure, NSS 43rd Round :July 1987 - June 1988 | Household Consumer Expenditure, NSS 50th Round : July 1993 - June 1994 | Household Consumer Expenditure, NSS 57th Round : July 2001 - June 2002"
All India Level Incidence and Rate of Suicides (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,1,0,All India level Incidence and Rate of Suicides from 1990 to 2000 | All India level Incidence and Rate of Suicides from 1989 to 1999 | All India level Incidence and Rate of Suicides from 1988 to 1998
Month wise break up of Non Residents Indians arrivals (schema 1),Ministry of Tourism,5,,True,4,0,Month-wise break-up of Non-Residents indians (NRIs) Arrivals from 2016 to 2018 | Month wise break-up of Non-Resident Indians (NRIs) Arrivals from 2017 to 2019 | Month wise break-up of Non-Residents Indians (NRIs) arrivals 2018-2020
Category wise Production and Sales (Including Exports) of Motor Vehicles,Ministry of Road Transport and Highways,5,,True,5,0,Category wise Production and Sales (Including Exports) of Motor Vehicles in India during 2005-06 to 2012-13 | Category wise Production and Sales (Including Exports) of Motor Vehicles in India during 2003-04 to 2010-11 | Category wise Production and Sales (Including Exports) of Motor Vehicles in India during 2000-01 to 2007-08
State/UT-wise Accidents Victims Classified According to Non-Use of Safety Device (Non Wearing of Helmet) (schema 2),Ministry of Road Transport and Highways,5,year,True,2,0,State/UT-wise Number of Accidents Classified According to Non-Use of Safety Device ( Non-Wearing of Seat Belt) by Victims during 2023 | State/UT-wise Number of Accidents Classified According to Non-Use of Safety Device ( Non-Wearing of Seat Belt) by Victims during 2022 | State/UT-wise Number of Accidents Victims Classified According to Non-Use of Safety Device (Non Wearing of Helmet) during 2022
List of ongoing projects with funds status under NLCPR for Assam for Tourism & Culture as on date,Ministry of Development of North Eastern Region,5,state,True,0,5,List of ongoing projects with funds status under NLCPR for Assam for Tourism & Culture as on date | List of ongoing projects with funds status under NLCPR for Manipur for Tourism & Culture as on date | List of ongoing projects with funds status under NLCPR for Meghalaya for Tourism & Culture as on Date
State/UT-wise Total Number of Grevious and Minor Injured Persons in Road Accidents on All Roads (schema 1),Ministry of Road Transport and Highways,5,year,True,2,0,State/UT-wise Total number of grievous and Minor Injured Persons in Road Accidents on all roads during 2017 | State/UT-wise Total Number of Grevious and Minor Injured Persons in Road Accidents on All Roads during 2018 | State/UT-wise Total number of Grevious and Minor Injured Persons in Road Accidents on all roads during 2019
Year-wise Detailed Financial Results of Air Asia (schema 1),Ministry of Civil Aviation,5,,True,3,0,Year-wise Detailed Financial Results of Air Asia during 2014-15 and 2015-16 | Year-wise Detailed Financial Results of Air Costa from 2013-14 to 2015-16 | Year-wise Detailed Financial Results of Air India from 2012-13 to 2015-16
"State, UT & City-Wise Incidence of Cognizable Crime and Volume Per One Lakh of Population under Important Heads of Indian Penal Code (IPC) (schema 1)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,False,2,0,"State, UT & City-wise Incidence of Cognizable Crime and Volume per One Lakh of Population under Important Heads of IPC during 1981 | State, UT & City-wise Incidence of Cognizable Crime & Volume per one lakh of population under important heads of IPC during 1980 | State, UT & City-wise Incidence of Cognizable Crime and Volume per One Lakh of Population under Important Heads of Indian Penal Code (IPC) during 1979"
Financial Performance of The Oriental Insurance Company Ltd.(OICL) upto First Quarter (schema 1),"Ministry of Finance, Department of Financial Services",5,,True,3,0,Financial Performance of The Oriental Insurance Company Ltd.(OICL) upto First Quarter-2014-15 | Financial Performance of The Oriental Insurance Company Ltd.(OICL) upto First Quarter -2015-16 | Financial Performance of The Oriental Insurance Company Ltd.(OICL) upto Second Quarter -2015-16
"Marital Status by Age and Sex for Scheduled Tribes, 2001 -Mizoram","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",5,state,True,0,5,"Marital Status by Age and Sex for Scheduled Tribes, 2001 -Rajasthan | Marital Status by Age and Sex for Scheduled Tribes, 2001 -Nagaland | Marital Status by Age and Sex for Scheduled Tribes, 2001 -Mizoram"
Disposal of Cases by Police For Crimes Committed Against Scheduled Castes (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,True,2,0,Disposal of Cases by Police for Crimes Committed against Scheduled Castes during 2004 | Disposal of Cases by Police for Crimes Committed against Scheduled Tribes during 2004 | Disposal of Cases by Police for Crimes Committed against Scheduled Castes during 2002
"State, UT & City-wise Distribution of Accidental Deaths (Natural Causes & UN-Natural Causes) by Sex & Age Group (schema 1)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,False,1,0,"State, UT & City-wise Distribution of Accidental Deaths (Natural Causes & UN-Natural Causes) by Sex & Age Group during 2000 | State, UT & City-wise Distribution of Accidental Deaths (Natural Causes & Un-natural Causes) by Sex & Age Group during 1999 | State, UT & City-wise Distribution of Accidental Deaths (Natural Causes & Un-natural Causes) by Sex & Age Group during 1998"
State & UT-wise Rehabilitation of Prisoners (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,False,1,0,State & UT-wise Rehabilitation of prisoners during 2014 | State & UT-wise Rehabilitation of Prisoners during 2013 | State & UT-wise Rehabilitation of Prisoners during 2012
Incidence of Suicides by Causes,"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,False,1,0,Incidence of Suicides by Causes during 1993 | Incidence of Suicides by Causes during 1992 | Incidence of Suicides by Causes during 1991
"State, UT & City-wise Thefts Ordinary Persons (schema 1)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,1,0,"State, UT & City-wise Thefts Ordinary Persons during 1961 | State, UT & City-wise Thefts Ordinary Persons during 1960 | State, UT & City-wise Thefts Ordinary Persons during 1959"
Seasonal Frequency of Cyclones during Pre-Monsoon,Ministry of Earth Sciences,5,,True,0,5,Seasonal Frequency of Cyclones during Pre-Monsoon from 1891 to 2019 | Seasonal frequency of Cyclones during Post-Monsoon from 1891 to 2019 | Seasonal frequency of Severe Cyclones during Monsoon from 1891 to 2019
"State/UT, Age Group & Sex-wise Victims of Kidnapping & Abduction Total (Sec.363 to 369, 371 to 373 IPC) (schema 1)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,True,4,0,"State/UT, Age Group and Sex-wise Victims of Kidnapping & Abduction (Total) (Sec.363 to 369, 371 to 373 IPC) during 2009 | State/UT & Age Group & Sex-wise Victims of Kidnapping & Abduction (Total) (Sec.363 to 369, 371 to 373 IPC) during 2010 | State/UT, Age Group & Sex-wise Victims of Kidnapping & Abduction Total (Sec.363 to 369, 371 to 373 IPC) during 2006"
All India Level Incidence and Volume of Suicides (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,4,0,All India Level Incidence and Volume of Suicides from 1978 to 1988 | All India Level Incidence and Volume of Suicides from 1977 to 1987 | All India Level Incidence and Volume of Suicides from 1976 to 1986
"Ever Married and Currently Married Population by Age At Marriage and Duration Of Marriage, 2001 -Andaman & Nicobar Islands","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",5,,True,1,4,"Ever married and currently married population by age at marriage and duration of marriage, 2001 - ANDAMAN & NICOBAR ISLAND | Ever married and currently married population by age at marriage, duration of marriage and religious community, 2001 - ANDAMAN & NICOBAR ISLAND | Ever married and currently married population by age at marriage, duration of marriage and educational level, 2001 - ANDAMAN & NICOBAR ISLAND"
Crime Head-wise Court Disposal of Crime/Atrocities against Scheduled Caste(s) in Metropolitan Cities (schema 4),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,3,0,Crime Head-wise Court Disposal of Crime/Atrocities against Scheduled Tribe(s) in Metropolitan Cities during 2017 | Crime Head-wise Court Disposal of Crime/Atrocities against Scheduled Caste(s) in Metropolitan Cities during 2018 | Crime Head-wise Court Disposal of Crime/Atrocities against Scheduled Tribe(s) in Metropolitan Cities during 2018
"State, UT & City-wise Thefts Cattle Persons (schema 2)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,1,0,"State, UT & City-wise Thefts Cattle Persons during 1968 | State, UT & City-wise Thefts Cattle Persons during 1967 | State, UT & City-wise Thefts Cattle Persons during 1966"
