Collection,n_rows,flags,contrasting_or_subset,n_unexplained_tokens,unexplained_tokens,n_states,merge_add_columns,sample_titles
Andhra Pradesh Gross State Domestic Product at Factor Cost by Industry of Origin at 2004-05 Prices - From 2004-05 to 2013-14 (as on 01.03.2014) (schema 2),256,unexplained,,19,andaman andhra arunachal bengal chattisgarh current gross himachal islands jammu kashmir madhya,22,state,Andaman & Nicobar Islands Gross State Domestic Product at Factor Cost by Industry of Origin at 2004-05 Prices - From 2004-05 to 2013-14 (as on 01.03.2014) | Andhra Pradesh Gross State Domestic Product at Factor Cost by Industry of Origin at 2004-05 Prices - From 2004-05 to 2013-14 (as on 01.03.2014)
ICAR Publication Repository as on date: NRC Orchids Collection,17,unexplained,,18,iifsr litchi meat mithun nbagr nbair nbfgr ncipm niasm nibsm nihsad ninfet,0,,ICAR Publication Repository as on date: NRC Pig Collection | ICAR Publication Repository as on date: NRC Orchids Collection
Andhra Pradesh Gross State Domestic Product at factor cost at Constant Prices for the base year (schema 1),358,unexplained,,18,andhra arunachal bengal constant current gross himachal himahal jammu kashmir madhya nadu,23,state,Andhra Pradesh Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94 | Andhra Pradesh Gross State Domestic Product at factor cost at Constant Prices for the base year 2004-05
Scheduled Caste Households by Source of Lighting,33,"unexplained,geo_unnamed",,18,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya main,22,year,"Scheduled Caste Households by main source of lighting, 2011 | Scheduled Caste Households by Source of Lighting, 2001 - Jammu & Kashmir"
Normal households by household size,35,"unexplained,geo_unnamed",,18,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,24,year,"Normal households by household size, 2011 | Normal households by household size, 2011 - JAMMU & KASHMIR"
Population in single year age by Residence and Sex,35,"unexplained,geo_unnamed",,18,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,25,,"Population in single year age by Residence and Sex, 2001 - INDIA | Population in single year age by Residence and Sex, 2001 - JAMMU & KASHMIR"
Population in single year age by Residence and Sex for Scheduled Castes,33,"unexplained,geo_unnamed",,18,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,23,,"Population in single year age by Residence and Sex for Scheduled Castes, 2001 - INDIA | Population in single year age by Residence and Sex for Scheduled Castes, 2001 - JAMMU & KASHMIR"
Population in five year age-group by Residence and Sex,56,unexplained,,18,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,26,state,"Population in five year age-group by Residence and Sex, 2001 - INDIA | Population in five year age-group by Residence and Sex, 2001 - JAMMU & KASHMIR"
Population in five year age-group by Residence and Sex for Scheduled Castes,65,unexplained,,18,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,26,state,"Population in five year age-group by Residence and Sex for Scheduled Castes, 2001 - INDIA | Population in five year age-group by Residence and Sex for Scheduled Castes, 2001 - JAMMU & KASHMIR"
Marital status by age and sex,35,"unexplained,geo_unnamed",,18,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,25,,"Marital status by age and sex, 2001 - INDIA | Marital status by age and sex, 2001 - JAMMU & KASHMIR"
Marital status by age and sex for Scheduled Castes,48,"unexplained,geo_unnamed",,18,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,23,,"Marital status by age and sex for Scheduled Castes, 2001 - INDIA | Marital status by age and sex for Scheduled Castes, 2001 - JAMMU & KASHMIR"
Educational level by age and sex for population age 7 and above for Scheduled Castes,33,"unexplained,geo_unnamed",,18,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,23,,"Educational level by age and sex for population age 7 and above for Scheduled Castes, 2001 - INDIA | Educational level by age and sex for population age 7 and above for Scheduled Castes, 2001 - JAMMU & KASHMIR"
Population by Religious Community,35,unexplained,,18,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,25,state,"Population by Religious Community, 2001 - India | Population by Religious Community, 2001 - Jammu & Kashmir"
Ever married and currently married population by age at marriage and duration of marriage,70,"unexplained,geo_unnamed",,18,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,28,,"Ever married and currently married population by age at marriage and duration of marriage, 2001 - INDIA | Ever married and currently married population by age at marriage and duration of marriage, 2001 - JAMMU & KASHMIR"
Education level by religious community and sex for population age 7 and above,35,"unexplained,geo_unnamed",,18,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,25,,"Education level by religious community and sex for population age 7 and above, 2001 - INDIA | Education level by religious community and sex for population age 7 and above, 2001 - JAMMU & KASHMIR"
"Population Attending Educational Institution by Completed Education Level, Age and Sex",35,"unexplained,geo_unnamed",,18,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,25,,"Population attending educational institution by completed education level, age and sex, 2001 - INDIA | Population attending educational institution by completed education level, age and sex, 2001 - JAMMU & KASHMIR"
Population ages 5-19 attending educational institutions by economic activity status and sex,70,"unexplained,geo_unnamed",,18,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,28,,"Population ages 5-19 attending educational institutions by economic activity status and sex, 2001 - INDIA | Population ages 5-19 attending educational institutions by economic activity status and sex, 2001 - JAMMU & KASHMIR"
Religious community by age-group and sex,35,"unexplained,geo_unnamed",,18,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,25,,"Religious community by age-group and sex, 2001 - INDIA | Religious community by age-group and sex, 2001 - JAMMU & KASHMIR"
"Disabled Population by type of Disability, Age and Sex",56,"unexplained,geo_unnamed",,18,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,26,,"Disabled population by type of disability, age and sex, 2001 - INDIA | Disabled population by type of disability, age and sex, 2001 - JAMMU & KASHMIR"
Houseless Households by Household Size,34,unexplained,,18,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,24,state,"Houseless households by household size, 2011 - INDIA | Houseless households by household size, 2011 - JAMMU & KASHMIR"
Households with Number of Aged Persons 60 Years and Above by Sex and by Household Size,35,unexplained,,18,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,25,state,"Households with number of aged persons 60 years and above by sex and household size, 2011 - INDIA | Households with number of aged persons 60 years and above by sex and household size, 2011 - JAMMU & KASHMIR"
Monthly Traffic and Operating Statistics of Air India Express on Scheduled Domestic Services (schema 2),33,unexplained,,17,air airways alliance asia bluedart costa domestic express go indigo international jet,1,,Monthly Traffic and Operating Statistics of Air Asia on Scheduled Domestic Services during 2015-16 | Monthly Traffic and Operating Statistics of Air Costa on Scheduled Domestic Services during 2015-16
Annual Comparative Statement of Traffic on Domestic Scheduled Services of Air India Express (schema 1),16,unexplained,,17,air airways alliance asia bluedart carnival costa express go indigo jet jetlite,1,,Annual Comparative Statement of Traffic on Domestic scheduled Services of Air India from 2014-15 to 2016-17 | Annual Comparative Statement of Traffic on Domestic scheduled Services of Air India Express from 2014-15 to 2016-17
Operating Traffic Statistics and other Performance Indicators relating to Scheduled Traffic of Air Asia (schema 1),14,unexplained,,17,air airways alliance asia blue cargo dart express go indigo jet jetlite,1,year,Operating Traffic Statistics and other Performance Indicators relating to Scheduled Traffic of Spicejet during 2016-17 | Operating Traffic Statistics and other Performance Indicators relating to Scheduled Traffic of Air Asia during 2016-17
Population in single year age by Residence and Sex for Scheduled Tribes,30,"unexplained,geo_unnamed",,17,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,20,,"Population in single year age by Residence and Sex for Scheduled Tribes, 2001 - INDIA | Population in single year age by Residence and Sex for Scheduled Tribes, 2001 - JAMMU & KASHMIR"
Population in five year age-group by Residence and Sex for Scheduled Tribes,59,unexplained,,17,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,22,state,"Population in five year age-group by Residence and Sex for Scheduled Tribes, 2001 - INDIA | Population in five year age-group by Residence and Sex for Scheduled Tribes, 2001 - JAMMU & KASHMIR"
Marital status by age and sex for Scheduled Tribes,41,"unexplained,geo_unnamed",,17,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,20,,"Marital status by age and sex for Scheduled Tribes, 2001 - INDIA | Marital status by age and sex for Scheduled Tribes, 2001 - JAMMU & KASHMIR"
Educational level by age and sex for population age 7 and above for Scheduled Tribes,30,"unexplained,geo_unnamed",,17,andhra arunachal bengal dadra daman diu haveli himachal jammu kashmir madhya nadu,20,,"Educational level by age and sex for population age 7 and above for Scheduled Tribes, 2001 - INDIA | Educational level by age and sex for population age 7 and above for Scheduled Tribes, 2001 - JAMMU & KASHMIR"
Normal households by household size for SC,31,unexplained,,17,andhra bengal dadra daman diu haveli himachal jammu kashmir madhya nadu nagar,22,state,"Normal households by household size for SC, 2011 - JAMMU & KASHMIR | Normal households by household size for SC, 2011 - HIMACHAL PRADESH"
